metric	value
structure_columns_ok	1
domain_violations_total	0
cross_conflicts_after_fixes	0
missing_MethodTag_codes	7
missing_MethodFamily_codes	12
missing_Methodology_codes	11
missing_MethodTransparency_codes	9
missing_MethodNormativity_codes	11
notes_count_902	12
notes_count_906	54
notes_count_909	7
